location_id,location_friendlyname,lat,lon
90127,Candidate 127,45.2393377,14.25306559
90128,Candidate 128,45.23858223,14.25658464
90129,Candidate 129,45.23497849,14.25296903
90130,Candidate 130,45.21717552,14.56486702
90131,Candidate 131,45.20048584,14.53662872
90132,Candidate 132,45.23422296,14.57928658
90133,Candidate 133,44.78086028,15.34446716
90134,Candidate 134,44.81788967,15.28266907
90135,Candidate 135,44.90987288,15.17555237
90136,Candidate 136,44.96091116,15.10345459
90137,Candidate 137,44.5748174,15.43235779
90138,Candidate 138,44.51217617,15.30944824
90139,Candidate 139,44.51756205,15.19752502
90140,Candidate 140,44.66181583,15.5532074
90141,Candidate 141,44.70673021,15.67131042
90142,Candidate 142,44.76233667,15.69740295
90143,Candidate 143,44.82324722,15.68023682
90144,Candidate 144,44.89382291,15.61637878
90145,Candidate 145,44.8743624,15.78323364
90146,Candidate 146,44.56356653,15.75439453
90147,Candidate 147,44.51070721,15.74546814
90148,Candidate 148,44.48523931,15.77156067
90149,Candidate 149,44.63299372,15.728302
90150,Candidate 150,45.20574724,15.28095245
90151,Candidate 151,45.17864883,15.28850555
90152,Candidate 152,45.14814769,15.27374268
90153,Candidate 153,45.12174861,15.24421692
90154,Candidate 154,45.22920598,15.26481628
90155,Candidate 155,45.28503266,15.57792664
90156,Candidate 156,45.1750186,15.56144714
90157,Candidate 157,45.88236073,16.41666412
90158,Candidate 158,45.88451168,16.40499115
90159,Candidate 159,45.87781957,16.3861084
90160,Candidate 160,45.87495128,16.36550903
90161,Candidate 161,45.90458315,16.2714386
90162,Candidate 162,45.81635796,16.28139496
90163,Candidate 163,45.80606787,16.24774933
90164,Candidate 164,45.70845691,16.41134262
90165,Candidate 165,45.71145365,16.41614914
90166,Candidate 166,45.7097755,16.47245407
90167,Candidate 167,45.72295964,16.53253555
90168,Candidate 168,46.29915281,16.35520935
90169,Candidate 169,46.28729156,16.33804321
90170,Candidate 170,46.28990125,16.32328033
90171,Candidate 171,46.29227359,16.30645752
90172,Candidate 172,46.34692761,16.3612175
90173,Candidate 173,46.49271993,16.42868042
90174,Candidate 174,46.44448123,16.43211365
90175,Candidate 175,42.79993513,18.13156128
90176,Candidate 176,42.83871656,17.74223328
90177,Candidate 177,42.81303288,17.79579163
90178,Candidate 178,42.79338522,17.85003662
90179,Candidate 179,42.79388909,17.88917542
90180,Candidate 180,42.7344048,17.93861389
90181,Candidate 181,42.70968692,17.98736572
90182,Candidate 182,42.69404399,18.02856445
90183,Candidate 183,42.67486341,18.09242249
90184,Candidate 184,42.94536571,17.54104614
90185,Candidate 185,42.88904574,17.49847412
90186,Candidate 186,42.82109166,17.67837524
90187,Candidate 187,43.0141871,17.04803467
90188,Candidate 188,43.14658915,16.78985596
90189,Candidate 189,43.13205897,16.93199158
90190,Candidate 190,43.12855117,17.07138062
90191,Candidate 191,43.30269535,16.80908203
90192,Candidate 192,43.33866309,16.51176453
90193,Candidate 193,43.33866309,16.57562256
90194,Candidate 194,43.55899837,16.36962891
90195,Candidate 195,43.59381947,16.39709473
90196,Candidate 196,43.6107253,16.30027771
90197,Candidate 197,43.64054755,16.20826721
90198,Candidate 198,45.58713413,16.18972778
90199,Candidate 199,45.49479639,15.98373413
90200,Candidate 200,45.47650323,16.00708008
90201,Candidate 201,45.34731966,16.06201172
90202,Candidate 202,45.33670191,16.08810425
90203,Candidate 203,45.38012555,15.61431885
90204,Candidate 204,45.59578302,15.59646606
90205,Candidate 205,45.70905628,15.76950073
90206,Candidate 206,45.75219336,15.82717896
90207,Candidate 207,45.93491554,16.11282349
90208,Candidate 208,45.88044871,16.35452271
90209,Candidate 209,45.96546999,16.45614624
90210,Candidate 210,45.95019487,16.67861938
90211,Candidate 211,45.80199917,16.70883179
90212,Candidate 212,45.66876494,16.77062988
90213,Candidate 213,45.62172169,16.92306519
90214,Candidate 214,45.57463894,16.94091797
90215,Candidate 215,45.53617475,17.02056885
